"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f","wage_z","unemp_rate_z","lfpr_z","college_pct_z","aging_idx_z","log_density_z","industry_pct_z"
"澎湖縣","離島",2021,3.5667,4.1,52.1,45.96,175.36,22.76,838.22,6.7313,1.27164079855047,"低薪",0,"離島","2021",-0.991672627821706,0.817767106189813,-1.98778353160574,-0.359388074605912,0.495359887151492,0.138776637505786,-1.03087812934772
"澎湖縣","離島",2022,3.7083,3.8,55.1,45.34,184.14,23.92,845.18,6.7395,1.31057355057975,"低薪",0,"離島","2022",-0.817064900214648,0.462684020607394,-1.16653963122403,-0.413568378967529,0.709676322671319,0.145057315382409,-0.910640424315942
"澎湖縣","離島",2023,3.8833,3.5,56.1,40.5,194.34,24.92,849.25,6.7444,1.35668530761577,"低薪",0,"離島","2023",-0.601271451547732,0.107600935024975,-0.89279166443012,-0.836524303338869,0.958654414049706,0.148810403381855,-0.806987230323027
"澎湖縣","離島",2024,4.075,3.3,55.2,40.14,207.41,23.6,850.52,6.7458,1.40487074669283,"低薪",0,"離島","2024",-0.364885142350888,-0.129121122029971,-1.13916483454463,-0.867983834903679,1.27768810564927,0.14988271423884,-0.943809446393676
"臺中市","中部",2019,3.925,3.7,58.1,52.17,90.43,40.77,1271.06,7.1476,1.36736635123437,"低薪",0,"中部","2019",-0.549850955493959,0.344322992079922,-0.345295730842311,0.183288844887067,-1.57774886782561,0.457635930193385,0.835915894464687
"臺中市","中部",2020,3.9583,3.9,58.8,54.75,97.42,40.63,1273.55,7.1496,1.37581464016451,"低薪",0,"中部","2020",-0.508788544976197,0.581045049134867,-0.153672154086579,0.40874882110154,-1.40712564638101,0.45916780284622,0.821404447305679
"臺中市","中部",2021,3.9917,3.9,60.1,56.86,104.75,37.77,1270.26,7.147,1.38421720532469,"低薪",0,"中部","2021",-0.46760282391634,0.581045049134867,0.202200202745499,0.593136631106401,-1.22820315522379,0.457176368397535,0.52495631248594
"臺中市","中部",2022,4.05,3.7,61,58.74,111.76,38.05,1270.7,7.1473,1.39871688111845,"低薪",0,"中部","2022",-0.395712777874733,0.344322992079922,0.448573372860013,0.757425295944855,-1.05709174144316,0.45740614929546,0.553979206803956
"臺中市","中部",2023,4.125,3.5,60.9,59.66,118.89,37.78,1284.89,7.1584,1.41706601978664,"高薪",1,"中部","2023",-0.303229871303198,0.107600935024975,0.421198576180622,0.837821876610481,-0.883051173646304,0.465908042518694,0.525992844425869
"臺中市","中部",2024,4.3083,3.4,61.1,60.02,127.29,38.86,1291.53,7.1636,1.46054339475255,"高薪",1,"中部","2024",-0.0772016476423657,-0.0107600935024977,0.475948169539404,0.869281408175292,-0.678010392511162,0.469890911416065,0.637938293938218
"臺北市","北部",2019,5.55,3.7,58.3,79.11,134.44,18.25,9731.58,9.1831,1.71379792775834,"高薪",1,"北部","2019",1.45394535355597,0.344322992079922,-0.290546137483531,2.53751045698704,-0.503481632378273,2.01669932261617,-1.49835403425577
"臺北市","北部",2020,5.6667,3.9,58.5,80.82,143.86,18.63,9574.76,9.1669,1.73460693772375,"高薪",1,"北部","2020",1.59784875618128,0.581045049134867,-0.235796544124749,2.68694323191989,-0.273543042105292,2.00429115412821,-1.45896582053847
"臺北市","北部",2021,5.6917,4,57.7,83.58,154.43,19.14,9287.7,9.1364,1.73900897328697,"高薪",1,"北部","2021",1.62867639170513,0.69940607766234,-0.454794917559872,2.92813297391677,-0.0155333925102378,1.98093009617248,-1.40610269160208
"臺北市","北部",2022,5.8417,3.7,56,83.58,166.1,19.1,9126.87,9.119,1.76502185037036,"高薪",1,"北部","2022",1.8136422048482,0.344322992079922,-0.920166461109511,2.92813297391677,0.269326835566799,1.96760280409281,-1.4102488193618
"臺北市","北部",2023,5.9,3.5,55.7,81.39,178.4,18.27,9241.68,9.1315,1.77495235091167,"高薪",1,"北部","2023",1.8855322508898,0.107600935024975,-1.00229085114768,2.73675415689751,0.569565122228972,1.97717700817303,-1.49628097037592
"臺北市","北部",2024,6.125,3.5,55.6,82.1,189.57,18.28,9164.36,9.1231,1.81237875643079,"高薪",1,"北部","2024",2.16298097060441,0.107600935024975,-1.02966564782707,2.79879934415032,0.842220541905107,1.97074314303113,-1.49524443843599
"臺南市","南部",2019,4.0333,3.7,63.1,45.9,130.09,41.58,858.21,6.7548,1.39458489943762,"低薪",0,"南部","2019",-0.416305638404662,0.344322992079922,1.02344410312721,-0.364631329866714,-0.609663465466114,0.156776141176597,0.919874981598948
"臺南市","南部",2020,4.05,3.8,62.1,46.25,138.39,43.1,855.48,6.7517,1.39871688111845,"低薪",0,"南部","2020",-0.395712777874733,0.462684020607394,0.749696136333308,-0.334045674178703,-0.407063646011153,0.154401738564703,1.07742783646818
